post_id,post_date,topic,format,hook_type,post_time,reach,likes,comments_count,shares,saves,retention_rate,followers_gained
P0001,2026-04-27,Dating,Short,Text,Afternoon,1656,126,8,23,31,0.588,4
P0002,2026-03-09,Career Burnout,Short,Visual,Night,2222,167,5,97,98,0.726,19
P0003,2026-07-08,Social Anxiety,Short,Visual,Afternoon,2022,111,6,58,58,0.549,16
P0004,2026-04-26,Overthinking,Short,Visual,Night,2045,119,6,79,46,0.516,16
P0005,2026-06-17,Imposter Syndrome,Long,Visual,Afternoon,1274,89,3,15,59,0.481,13
P0006,2026-05-26,Financial Stress,Long,Visual,Afternoon,1115,50,3,24,18,0.581,5
P0007,2026-05-31,Dating,Short,Text,Morning,1687,93,5,45,33,0.458,13
P0008,2026-07-16,Financial Stress,Long,Visual,Night,1491,128,4,21,21,0.573,4
P0009,2026-06-01,Dating,Long,Visual,Evening,1274,103,5,23,40,0.381,5
P0010,2026-04-28,Overthinking,Short,Visual,Morning,2111,161,12,27,60,0.712,7
P0011,2026-06-06,Body Image,Short,Visual,Morning,2090,118,3,46,59,0.722,16
P0012,2026-06-03,Body Image,Long,Text,Afternoon,1663,105,3,62,74,0.503,18
P0013,2026-04-13,Financial Stress,Short,Text,Morning,1300,85,4,12,20,0.793,2
P0014,2026-06-06,Friendship Fallouts,Short,Visual,Night,1221,79,6,17,26,0.73,6
P0015,2026-04-28,Body Image,Short,Text,Morning,1335,115,9,46,65,0.545,17
P0016,2026-03-17,Social Anxiety,Long,Text,Evening,2348,199,9,37,61,0.489,12
P0017,2026-06-10,Family Pressure,Long,Visual,Night,1388,56,3,26,24,0.499,4
P0018,2026-05-03,Imposter Syndrome,Short,Text,Afternoon,1705,95,5,56,45,0.585,17
P0019,2026-06-01,Friendship Fallouts,Long,Text,Night,535,29,0,12,13,0.464,2
P0020,2026-03-13,Family Pressure,Short,Text,Morning,1333,69,2,28,51,0.574,8
P0021,2026-03-17,Dating,Short,Visual,Night,2344,121,8,49,80,0.695,18
P0022,2026-07-20,Loneliness,Long,Text,Evening,1538,125,6,30,30,0.477,8
