post_id,post_date,topic,format,hook_type,post_time,reach,likes,comments_count,shares,saves,retention_rate,followers_gained,viral_coefficient,save_to_share_ratio
P0001,2026-04-27,Dating,Short,Text,Afternoon,1656,126,8,23,31,0.588,4,16.455314009661837,1.35
P0002,2026-03-09,Career Burnout,Short,Visual,Night,2222,167,5,97,98,0.726,19,31.63816381638164,1.01
P0003,2026-07-08,Social Anxiety,Short,Visual,Afternoon,2022,111,6,58,58,0.549,16,21.266073194856578,1.0
P0004,2026-04-26,Overthinking,Short,Visual,Night,2045,119,6,79,46,0.516,16,23.031784841075794,0.58
P0005,2026-06-17,Imposter Syndrome,Long,Visual,Afternoon,1274,89,3,15,59,0.481,13,22.09576138147567,3.93
P0006,2026-05-26,Financial Stress,Long,Visual,Afternoon,1115,50,3,24,18,0.581,5,14.977578475336323,0.75
P0007,2026-05-31,Dating,Short,Text,Morning,1687,93,5,45,33,0.458,13,18.405453467694134,0.73
P0008,2026-07-16,Financial Stress,Long,Visual,Night,1491,128,4,21,21,0.573,4,16.331321260898726,1.0
P0009,2026-06-01,Dating,Long,Visual,Evening,1274,103,5,23,40,0.381,5,21.350078492935637,1.74
P0010,2026-04-28,Overthinking,Short,Visual,Morning,2111,161,12,27,60,0.712,7,18.569398389388915,2.22
P0011,2026-06-06,Body Image,Short,Visual,Morning,2090,118,3,46,59,0.722,16,19.306220095693778,1.28
P0012,2026-06-03,Body Image,Long,Text,Afternoon,1663,105,3,62,74,0.503,18,28.622970535177387,1.19
P0013,2026-04-13,Financial Stress,Short,Text,Morning,1300,85,4,12,20,0.793,2,13.153846153846155,1.67
P0014,2026-06-06,Friendship Fallouts,Short,Visual,Night,1221,79,6,17,26,0.73,6,15.970515970515969,1.53
P0015,2026-04-28,Body Image,Short,Text,Morning,1335,115,9,46,65,0.545,17,31.123595505617978,1.41
P0016,2026-03-17,Social Anxiety,Long,Text,Evening,2348,199,9,37,61,0.489,12,19.697614991482112,1.65
P0017,2026-06-10,Family Pressure,Long,Visual,Night,1388,56,3,26,24,0.499,4,13.976945244956774,0.92
P0018,2026-05-03,Imposter Syndrome,Short,Text,Afternoon,1705,95,5,56,45,0.585,17,22.023460410557185,0.8
P0019,2026-06-01,Friendship Fallouts,Long,Text,Night,535,29,0,12,13,0.464,2,18.22429906542056,1.08
P0020,2026-03-13,Family Pressure,Short,Text,Morning,1333,69,2,28,51,0.574,8,21.042760690172543,1.82
P0021,2026-03-17,Dating,Short,Visual,Night,2344,121,8,49,80,0.695,18,19.965870307167236,1.63
P0022,2026-07-20,Loneliness,Long,Text,Evening,1538,125,6,30,30,0.477,8,18.855656697009103,1.0
P0023,2026-03-29,Social Anxiety,Short,Text,Evening,1679,121,4,65,54,0.613,20,26.86122692078618,0.83
P0024,2026-03-01,Body Image,Long,Visual,Night,1636,74,6,71,42,0.361,16,23.96088019559902,0.59
P0025,2026-07-08,Body Image,Short,Visual,Evening,2672,177,7,37,132,0.762,28,23.12874251497006,3.57
P0026,2026-04-11,Overthinking,Short,Visual,Evening,1979,113,8,84,94,0.748,28,30.318342597271347,1.12
P0027,2026-03-05,Friendship Fallouts,Short,Text,Night,1149,55,4,26,13,0.633,3,14.403829416884248,0.5
P0028,2026-03-15,Dating,Long,Text,Afternoon,1226,91,6,20,45,0.321,6,21.492659053833606,2.25
P0029,2026-03-18,Family Pressure,Short,Visual,Night,1988,144,11,51,54,0.507,9,21.730382293762577,1.06
P0030,2026-07-19,Friendship Fallouts,Short,Visual,Night,1234,64,5,21,42,0.512,9,18.80064829821718,2.0
P0031,2026-07-17,Career Burnout,Long,Text,Afternoon,1264,87,5,21,50,0.642,7,21.75632911392405,2.38
P0032,2026-06-21,Family Pressure,Long,Text,Evening,1249,61,5,42,46,0.451,10,24.179343474779824,1.1
P0033,2026-04-27,Friendship Fallouts,Long,Visual,Afternoon,1258,110,8,19,26,0.459,7,18.441971383147855,1.37
P0034,2026-07-29,Dating,Long,Visual,Afternoon,1103,74,6,35,35,0.406,6,24.161378059836807,1.0
P0035,2026-04-28,Family Pressure,Short,Visual,Morning,1458,122,9,39,45,0.468,9,24.108367626886146,1.15
P0036,2026-07-10,Dating,Short,Text,Morning,1714,137,11,66,52,0.533,15,27.129521586931155,0.79
P0037,2026-07-17,Family Pressure,Long,Text,Afternoon,1146,86,6,37,24,0.604,7,22.425828970331587,0.65
P0038,2026-06-13,Career Burnout,Long,Visual,Night,1720,71,4,49,43,0.365,12,18.924418604651162,0.88
P0039,2026-05-30,Family Pressure,Short,Visual,Night,1540,71,4,44,27,0.736,10,17.564935064935064,0.61
P0040,2026-03-26,Loneliness,Long,Text,Morning,2468,177,13,132,99,0.689,25,33.24554294975689,0.75
P0041,2026-05-03,Social Anxiety,Long,Text,Morning,1103,68,2,13,61,0.57,12,23.526745240253852,4.69
P0042,2026-06-17,Family Pressure,Short,Text,Afternoon,1052,51,2,15,28,0.804,6,15.779467680608365,1.87
P0043,2026-03-20,Career Burnout,Long,Text,Afternoon,818,71,5,24,29,0.578,6,26.344743276283616,1.21
P0044,2026-03-24,Imposter Syndrome,Short,Visual,Morning,1523,118,3,20,24,0.451,3,15.627051871306632,1.2
P0045,2026-07-02,Family Pressure,Short,Text,Night,1513,96,3,32,37,0.698,6,18.80370125578321,1.16
P0046,2026-06-06,Family Pressure,Long,Visual,Afternoon,639,45,3,5,14,0.311,2,14.86697965571205,2.8
P0047,2026-05-13,Social Anxiety,Long,Text,Night,2049,149,5,29,87,0.469,9,22.132747681795998,3.0
P0048,2026-05-15,Loneliness,Long,Visual,Afternoon,2111,145,7,83,79,0.483,21,28.01989578398863,0.95
P0049,2026-03-15,Family Pressure,Short,Visual,Evening,1855,163,13,24,25,0.676,4,16.037735849056602,1.04
P0050,2026-07-09,Social Anxiety,Long,Visual,Morning,1447,80,6,17,71,0.492,9,21.319972356599862,4.18
P0051,2026-04-30,Dating,Short,Visual,Morning,1820,130,10,60,72,0.522,14,26.923076923076923,1.2
P0052,2026-03-21,Loneliness,Short,Visual,Morning,2463,197,17,73,83,0.52,24,25.314656922452293,1.14
P0053,2026-05-20,Loneliness,Long,Text,Afternoon,1762,146,8,77,88,0.443,14,33.88195232690125,1.14
P0054,2026-05-16,Family Pressure,Long,Text,Afternoon,993,80,3,32,22,0.579,4,23.26283987915408,0.69
P0055,2026-06-26,Imposter Syndrome,Long,Visual,Morning,1494,130,8,46,44,0.452,9,25.301204819277107,0.96
P0056,2026-07-08,Overthinking,Short,Visual,Afternoon,2437,189,14,94,45,0.461,17,23.94337299958966,0.48
P0057,2026-05-02,Body Image,Short,Text,Morning,1667,103,8,39,34,0.524,6,18.29634073185363,0.87
P0058,2026-07-18,Financial Stress,Long,Visual,Night,1609,72,2,47,24,0.63,11,16.967060285891858,0.51
P0059,2026-04-04,Body Image,Short,Text,Morning,1462,64,5,36,43,0.633,12,19.11764705882353,1.19
P0060,2026-05-09,Body Image,Short,Visual,Afternoon,1820,80,6,57,58,0.768,19,21.75824175824176,1.02
P0061,2026-05-07,Body Image,Short,Text,Afternoon,1717,69,4,22,35,0.485,5,12.958648806057077,1.59
P0062,2026-03-24,Friendship Fallouts,Long,Text,Morning,1231,85,7,21,23,0.56,7,16.69374492282697,1.1
P0063,2026-05-25,Loneliness,Long,Visual,Morning,1839,80,5,98,74,0.469,24,30.39695486677542,0.76
P0064,2026-07-20,Career Burnout,Long,Visual,Night,1512,107,6,62,25,0.691,9,23.511904761904763,0.4
P0065,2026-04-08,Loneliness,Short,Visual,Morning,3159,170,7,100,104,0.508,28,23.108578664134217,1.04
P0066,2026-06-19,Friendship Fallouts,Short,Text,Afternoon,705,56,3,8,24,0.648,5,19.858156028368796,3.0
