Date,Time,Description,Type,Amount,Balance,Mode,Ref
2024-01-01,03:11,AMAZON SELLER SVCS,Debit,₹2462,678275.0,UPI,TXN190872
01-Jan-24,05:44,BHIM-BMTC,DR,50.00,681007.0,UPI,TXN143064
01-Jan-24,09:35,NEFT-TECHCRUSH LABS-SALARY MAY24,CR,₹84728,484728.0,NEFT,TXN246316
2024-01-01,14:07,UPI-AMAN-8934@OKAXIS,Debit,₹1828,-748745.0,UPI,TXN569226
01 Jan 2024,14:23,BHIM-BLINKIT,Debit,270.00,680737.0,UPI,TXN968962
2024-01-01,14:48,BHIM ZEPTO,DR,Rs. 625,677650.0,UPI,TXN370902
2024-01-01,14:50,UPI-UBER-2426@HDFCBANK,Debit,Rs. 148,677020.0,UPI,TXN546173
01-Jan-24,21:44,BHIM-BLINKIT,Debit,₹482,677168.0,UPI,TXN599219
2024-01-02,05:18,POS SWIGGY BANGALORE,Debit,Rs. 537,676177.0,UPI,TXN293319
02/01/24,06:55,UPI-GROWWPAY@HDFCBANK,DR,3956,672221.0,UPI,TXN418594
02/01/24,07:26,OLA ELECTRIC,Debit,₹350,670989.0,UPI,TXN377405
02-Jan-24,07:39,BMS MOVIE TICKETS,Debit,₹311,671339.0,UPI,TXN282256
02/01/24,11:29,POS OLA-PRIME,DR,258.00,676762.0,UPI,TXN389930
02 Jan 2024,12:35,SWIGGY-INSTAMART,Debit,₹571,671650.0,UPI,TXN717113
02-Jan-24,14:01,UPI-STARBUCKS@AXIS,Debit,266.00,670051.0,UPI,TXN283700
02/01/24,15:42,UPI-THIRDWAVE@OKAXIS,DR,₹405,670584.0,UPI,TXN422554
2024-01-02,20:58,ANI Technologies,Debit,267.00,670317.0,UPI,TXN553014
02/01/24,22:33,BMTC BUS PASS,Debit,Rs. 48,676714.0,UPI,TXN387636
03-Jan-24,00:55,POS TRUFFLES,Debit,₹1411,667323.0,UPI,TXN675898
03/01/24,11:29,FLIPKART INDIA,DR,"2,557.00",663991.0,UPI,TXN535098
2024-01-03,12:56,POS SWIGGY-RESTAURANT,DR,₹537,666786.0,UPI,TXN527809
03/01/24,19:18,GROFERS INDIA P L,Debit,878.00,668734.0,UPI,TXN639593
2024-01-03,21:11,POS UBER BANGALORE,Debit,₹439,669612.0,UPI,TXN268637
2024-01-03,23:58,POS SWIGGY-RESTAURANT,Debit,₹238,666548.0,UPI,TXN975271
04-Jan-24,00:09,BANGALORE ELEC SUPPLY,Debit,1639,659661.0,UPI,TXN993744
2024-01-04,09:00,TWC INDIA,DR,Rs. 272,663719.0,UPI,TXN448588
04 Jan 2024,09:42,UPI-BESCOM-BILL@HDFCBANK,DR,"Rs. 2,135",661300.0,UPI,TXN651499
04-Jan-24,13:48,UPI-AMAN-0816@OKAXIS,Debit,₹2314,-762689.0,UPI,TXN512464
04-Jan-24,15:20,ROPPEN TRANSPORTATION,DR,Rs. 159,659502.0,UPI,TXN203225
2024-01-04,16:06,UPI-STARBUCKS@AXIS,Debit,Rs. 447,659055.0,UPI,TXN356059
04/01/24,16:29,OLA CABS,Debit,284.00,663435.0,UPI,TXN839485
05-Jan-24,00:51,POS ZOMATO,Debit,Rs. 438,658408.0,UPI,TXN362246
05/01/24,07:24,UPI-AMAZONPAY@HDFCBANK,Debit,4208,654200.0,UPI,TXN515032
2024-01-05,08:58,POS BLINKIT,Debit,502,652929.0,UPI,TXN970813
05/01/24,11:43,IMPS-RENT-LANDLORD-75500265,Debit,"18,000.00",466728.0,IMPS,TXN948749
2024-01-05,12:48,ZOMATO MEDIA P L,DR,Rs. 569,653431.0,UPI,TXN707727
05-Jan-24,16:51,UPI-ANKIT-6430@OKAXIS,DR,2115,-739917.0,UPI,TXN170038
05-Jan-24,17:43,BHIM ZEPTO,DR,Rs. 200,654000.0,UPI,TXN767542
